created,text
2021-12-02 12:37:29,Get under desk or into bed when an earthquake strikes.
2021-12-02 12:37:23,"RT @caption_king5: @_dark_crusader One chest bump from karan gave earthquake to chomu random massss hai bro

PAPA KKUNDRRA RAAJ"
2021-12-02 12:36:12,"@Lisa_McMaster It's a straight fight between the 2, would require a political earthquake to get the rest remotely close."
2021-12-02 12:36:12,"@WolfgangKoehle4 There is not a political earthquake, it is all well Planned by the Elite. Mother fuckers."
2021-12-02 12:36:06,"RT @caption_king5: @_dark_crusader One chest bump from karan gave earthquake to chomu random massss hai bro

PAPA KKUNDRRA RAAJ"
2021-12-02 12:35:51,"RT @caption_king5: @_dark_crusader One chest bump from karan gave earthquake to chomu random massss hai bro

PAPA KKUNDRRA RAAJ"
2021-12-02 12:35:36,@_maxymax_ I DIDNT
2021-12-02 12:35:25,"RT @caption_king5: @_dark_crusader One chest bump from karan gave earthquake to chomu random massss hai bro

PAPA KKUNDRRA RAAJ"
2021-12-02 12:35:21,"@sitrucyrneh @palindnilap @AliceAvizandum @kearsley @JBadsleep worth trying, other good soft summer one is “un demi… https://t.co/2NTnCj6TJb"
2021-12-02 12:34:58,"USGS reports a M0.84 earthquake, 7km NW of The Geysers, CA on 12/2/21 @ 12:31:33 UTC https://t.co/exkX52cpl5 #earthquake"
2021-12-02 12:34:52,"@no_earthquake Don't lie, you just read about horns"
2021-12-02 12:34:15,RT @Strange_Sounds: A warning for the California coast? MONSTROUS deep-sea Angler Fish found near San Diego could be SIGN of NEXT BIG ONE!…
2021-12-02 12:34:03,6th graders have become Earthquake Hunters thanks to USGS and the power or tracking Earthquakes in real time… https://t.co/RddGgshfFz
2021-12-02 12:33:58,"USGS reports a M0.68 earthquake, 21km E of Little Lake, CA on 12/2/21 @ 12:29:00 UTC https://t.co/FwpitxL1if #earthquake"
2021-12-02 12:33:57,"RT @caption_king5: @_dark_crusader One chest bump from karan gave earthquake to chomu random massss hai bro

PAPA KKUNDRRA RAAJ"
2021-12-02 12:33:31,"RT @caption_king5: @_dark_crusader One chest bump from karan gave earthquake to chomu random massss hai bro

PAPA KKUNDRRA RAAJ"
